"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,130.874579158703,248.100988149739,29.5610841295096,74.296551760852,915.9701,1.53499880322387,0.276487738569511,0.21660038730913,1.66512531593951,60.678148936772,0.268318774598406,36.44059,0.158079135688991,0.78339961269087,1.08477303854722,219.460541905793,1.94090903261483,202.3101,0.841920864311009,280.138690842565,1.85424177505972,0.156855920672515,0.542352484417697,1.94652260910694,43.3243960633541,0.191580479392152,22.25733,0.0952479956762933,3.4576475155823,1.04976742261362,276.205041401064,2.44275738615101,263.1107,0.904752004323707,319.529437464419,1.39019251009509,0.55,0.55,0.3,0.3,1,4,249.631587409809,71.1831704311358,0.995975824902849,0.985887658396888,382.2459,0.995459492724606,0,9.9,0,0,0,0,0,0,0,0,0,0,0,3002,140,814.562039732474,1278.22596034711
2017,131.958544988254,261.083051727278,30.0523753615918,79.1623074150738,900.006936413454,1.57960528691115,0.253719743733099,0.202373572723373,1.70326439117626,59.1273523262261,0.261461151986572,34.7141363563607,0.14190437246745,0.797626427276627,1.07828481285151,233.04198347459,2.06102330184928,216.122846855566,0.85809562753255,292.169335800816,1.91350040594731,0.142729690453558,0.499609633480013,2.00052075976641,42.264610010459,0.18689410546625,21.1268040104688,0.0807678415379837,3.50039036651999,1.04547705009554,296.116455351043,2.61885393112462,283.235729874685,0.919232158462016,338.381065361502,1.59463710926758,0.55,0.55,0.3,0.3,1,4,260.352095132107,75.3828418359086,0.99116956947491,0.981734001187668,398.209063586546,0.993865261972556,0,9.9,0,0,0,0,0,0,0,0,-3.30365632012282,0,0,3002,140,814.562039732474,1278.22596034711
2022,133.038657472276,274.773436447376,30.5014941834829,84.3027558730839,882.343080579541,1.54083509931297,1.38387399260103,0.580514740668441,1.6700891327903,211.632923629793,2.80752236487284,107.711607454613,0.839956207768619,0.419485259331559,1.0838857016789,129.988702762757,1.14962008723382,119.92842285991,0.160043792231381,286.705143557318,1.87295389082908,0.770519756357403,1.74077641006987,1.96352554742786,185.258007552337,1.23700847318861,80.1972282080894,0.361140157483265,2.25922358993013,1.04835765420722,204.367642906283,1.80742743386317,194.940764810677,0.638859842516735,338.803613575105,1.81152209519842,0.55,0.55,0.3,0.3,1,4,249.50254844317,74.0933450600404,0.986054052731605,0.976582695923498,415.872919420459,0.991848213886377,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-3.69663325982453,59.6656459973038,98.7398343359819,3002,140,814.562039732474,1278.22596034711
2027,139.412568474886,277.243067849705,32.6129675052331,87.9103840036676,874.509147022129,1.50225140767832,1.49326600170505,0.598919650243441,1.63742753340191,222.157145464389,2.94713669173058,115.323316478263,0.861613124060524,0.401080349756559,1.08998235916617,126.456755480347,1.11838354546819,116.017249652632,0.138386875939476,291.470521141207,1.84180501542165,0.810278065247126,1.79039470411196,1.93524744245502,199.365000401589,1.3312039679815,87.5651591748787,0.3732227105273,2.20960529588804,1.05073415820403,209.138390398939,1.84961992468822,199.040250824633,0.6267772894727,354.02851050883,1.90477759898717,0.55,0.55,0.3,0.3,1,4,253.506467328325,77.3856228126631,0.981197543901644,0.972272022206163,423.706852977871,0.99086995859227,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.57160214281611,57.6346829745255,100.862955981704,3002,140,814.562039732474,1278.22596034711
2032,146.261190672664,279.381605817489,34.89988648474,91.4127791904015,866.636548440805,1.4622589142955,1.61916908570898,0.618199525392874,1.60397496898953,233.27473968301,3.09462269663481,123.620089193457,0.882008177474515,0.381800474607126,1.09691584254236,122.460050948747,1.08303669059072,111.640333924722,0.117991822525485,296.31343195397,1.80671973095825,0.858405860234948,1.84761763531336,1.90355382181818,214.804034532427,1.43429379546061,95.9171352340163,0.390114681590541,2.15238236468664,1.05359663106605,212.700585830797,1.88112398108757,201.880472620325,0.609885318409459,369.088653613815,1.996772298848,0.55,0.55,0.3,0.3,1,4,257.573913254171,80.6333501140649,0.976363847841539,0.967927271676332,431.579451559195,0.989835541470884,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.57414685010243,55.3564008038952,102.357038656553,3002,140,814.562039732474,1278.22596034711
2037,153.611742082076,281.205772206468,37.40977378597,94.7766867919695,858.817827941968,1.42118338854723,1.76365920086215,0.638160884783464,1.5700756615459,244.973022670712,3.24981211874967,132.622315197908,0.900755023301736,0.361839115216536,1.10476640396907,118.065366125335,1.04417009801246,106.869077210498,0.0992449766982636,301.302996260828,1.76684422205346,0.917846918939789,1.91432780140177,1.8677498400543,231.899371163683,1.54844311912156,105.535795673472,0.413171031482433,2.08567219859823,1.05711064775341,214.757451838285,1.89931490405779,203.155130727982,0.586828968517567,383.952810407162,2.08649127491399,0.55,0.55,0.3,0.3,1,4,261.768115720939,83.827970595562,0.97155382953454,0.963554998565269,439.398172058032,0.988757486488746,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.55742630788396,52.8645073248415,103.067665591348,3002,140,814.562039732474,1278.22596034711
2042,161.489782154173,282.739615219704,40.2044474948955,97.9625889951761,851.159068063991,1.37936793734284,1.92896636821889,0.658582628038811,1.53608249155122,257.235475241071,3.41248581454805,142.342716069958,0.917587444732863,0.341417371961189,1.11361330792586,113.350941497648,1.0024757266052,101.786626193224,0.0824125552671374,306.516135546238,1.7212936636478,0.992659095034875,1.99263205132939,1.82715396257607,251.04713367491,1.67629694191678,116.788222555049,0.444015449633756,2.00736794867061,1.06150042910396,214.968124193912,1.90117809037096,202.513459533287,0.555984550366244,398.611107677211,2.17284010668812,0.55,0.55,0.3,0.3,1,4,266.159274763391,86.9655115238241,0.966768334281813,0.959161434582606,447.056931936009,0.987652609668112,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.51862029801799,50.1985387177293,102.81704065157,3002,140,814.562039732474,1278.22596034711
2047,169.919581567967,284.012206941309,43.3630485351618,100.924040425948,843.781486829245,1.33715250365178,2.11749410881743,0.679229546201345,1.50233675467101,270.045326666233,3.58242130355424,152.787666914641,0.932372811987224,0.320770453798655,1.12353433925308,108.401023034954,0.958698647721133,96.4821628033355,0.0676271880127761,312.034390292388,1.66922306235441,1.08848364278238,2.08473482000989,1.78117895421951,272.713033641,1.82096492248835,130.141936634561,0.484386463258845,1.91526517999011,1.06707065963203,212.962390507134,1.88343938164509,199.576652759408,0.515613536741155,413.093748143043,2.254631204534,0.55,0.55,0.3,0.3,1,4,270.821582809929,90.0509236133278,0.962008136595474,0.954752960733688,454.434513170754,0.986542598005945,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.45462619921338,47.4010402373479,101.411399961313,3002,140,814.562039732474,1278.22596034711
2052,178.924719861371,285.055187702724,46.9830545782977,103.608492480072,836.821800461903,1.29485610762262,2.33184944726823,0.699866390775881,1.46915117856906,283.389227946563,3.75944149793911,163.959194443961,0.94510393728872,0.300133609224119,1.13460574493212,103.300341296378,0.913588218425168,91.0451421189998,0.0548960627112799,317.940863401738,1.60998747137795,1.21310263727998,2.19258269697052,1.72949494366537,297.403137671838,1.98582617892515,146.165600510696,0.535656182708805,1.80741730302948,1.07422882128712,208.385225827119,1.84295893721504,193.985882428136,0.464343817291195,427.500615198712,2.33058119530142,0.55,0.55,0.3,0.3,1,4,275.830369311182,93.1050656034189,0.957273895479476,0.950336703738216,461.394199538097,0.985454333132296,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.36239440752245,44.5147132777225,98.6638231555499,3002,140,814.562039732474,1278.22596034711
2057,188.528791766267,285.900540103515,51.1754405423623,105.961733087616,830.429196988043,1.25276390196237,2.5748820740352,0.720270493042799,1.43679803240772,297.260488251268,3.94345763714132,175.857294702834,0.955875056355593,0.279729506957201,1.1469024851028,98.1293153428213,0.867855664891912,85.5602953323672,0.0441249436444066,324.317703487555,1.54342967370041,1.37690665571282,2.31714047735693,1.67229843871654,325.583956528001,2.1739957062079,165.488621314028,0.597829141915733,1.68285952264307,1.08349506764838,200.991375777416,1.77756772737547,185.502806407461,0.402170858084267,442.04162508786,2.39933998887876,0.55,0.55,0.3,0.3,1,4,281.259753876159,96.17439284995,0.952566119713574,0.945921175607383,467.786803011957,0.984419495583518,1,9.9,0.5,2,0,0.15,0,0.5,0.51,0.15,-1.23978003271958,41.579935837732,94.4430105083822,3002,140,814.562039732474,1278.22596034711
